wavelength,u,g,r,i,z,Y
587,0.00001,0.00008,0.44421,0.00005,0.00027,0.00078
588,0.00001,0.00007,0.44097,0.00005,0.00027,0.00083
589,0.00001,0.00007,0.43767,0.00005,0.00026,0.00087
590,0.00000,0.00007,0.43845,0.00004,0.00026,0.00093
591,0.00000,0.00007,0.44640,0.00005,0.00028,0.00088
592,0.00000,0.00007,0.44330,0.00004,0.00029,0.00082
593,0.00000,0.00007,0.44782,0.00004,0.00031,0.00077
594,0.00000,0.00007,0.44822,0.00004,0.00032,0.00072
595,0.00000,0.00007,0.44593,0.00004,0.00033,0.00066
596,0.00000,0.00007,0.44915,0.00004,0.00034,0.00061
597,0.00000,0.00007,0.44819,0.00004,0.00036,0.00056
598,0.00000,0.00007,0.44998,0.00004,0.00037,0.00050
599,0.00000,0.00006,0.45187,0.00004,0.00038,0.00045
600,0.00000,0.00006,0.45375,0.00004,0.00040,0.00040
601,0.00000,0.00006,0.45575,0.00004,0.00041,0.00034
602,0.00000,0.00006,0.45713,0.00004,0.00041,0.00032
603,0.00000,0.00005,0.45857,0.00005,0.00040,0.00030
604,0.00000,0.00005,0.46001,0.00005,0.00040,0.00027
605,0.00000,0.00004,0.46095,0.00005,0.00040,0.00025
606,0.00000,0.00003,0.46120,0.00005,0.00039,0.00023
607,0.00000,0.00003,0.46147,0.00005,0.00039,0.00020
608,0.00000,0.00002,0.46175,0.00005,0.00038,0.00018
609,0.00000,0.00002,0.46240,0.00005,0.00038,0.00016
610,0.00000,0.00001,0.46376,0.00005,0.00038,0.00013
611,0.00000,0.00001,0.46833,0.00005,0.00036,0.00015
612,0.00000,0.00001,0.46706,0.00005,0.00035,0.00017
613,0.00000,0.00001,0.46941,0.00005,0.00033,0.00019
614,0.00000,0.00001,0.47176,0.00005,0.00032,0.00021
615,0.00000,0.00001,0.47234,0.00005,0.00030,0.00022
616,0.00000,0.00001,0.47362,0.00005,0.00029,0.00024
617,0.00000,0.00001,0.47440,0.00005,0.00028,0.00026
618,0.00000,0.00001,0.47590,0.00005,0.00026,0.00028
619,0.00000,0.00001,0.47645,0.00005,0.00025,0.00030
620,0.00000,0.00001,0.47727,0.00005,0.00023,0.00031
621,0.00000,0.00001,0.47717,0.00005,0.00023,0.00032
622,0.00000,0.00001,0.47707,0.00004,0.00024,0.00032
623,0.00000,0.00001,0.47832,0.00004,0.00024,0.00032
624,0.00000,0.00001,0.47884,0.00004,0.00024,0.00032
625,0.00000,0.00001,0.47906,0.00004,0.00024,0.00032
626,0.00000,0.00001,0.47927,0.00004,0.00024,0.00032
627,0.00000,0.00001,0.47849,0.00004,0.00024,0.00032
628,0.00000,0.00001,0.46404,0.00004,0.00024,0.00031
629,0.00000,0.00001,0.47479,0.00004,0.00025,0.00032
630,0.00000,0.00001,0.47735,0.00005,0.00025,0.00032
631,0.00000,0.00001,0.48029,0.00005,0.00026,0.00035
632,0.00000,0.00001,0.48177,0.00005,0.00027,0.00039
633,0.00000,0.00001,0.48462,0.00005,0.00028,0.00042
634,0.00000,0.00001,0.48602,0.00006,0.00029,0.00046
635,0.00000,0.00001,0.48784,0.00006,0.00029,0.00049
636,0.00000,0.00001,0.49039,0.00006,0.00030,0.00053
637,0.00000,0.00001,0.49211,0.00007,0.00031,0.00056
638,0.00000,0.00001,0.49457,0.00007,0.00032,0.00060
639,0.00000,0.00001,0.49550,0.00007,0.00033,0.00063
640,0.00000,0.00001,0.49717,0.00007,0.00034,0.00067
641,0.00000,0.00001,0.49855,0.00008,0.00033,0.00066
642,0.00000,0.00001,0.49993,0.00008,0.00033,0.00066
643,0.00000,0.00001,0.49957,0.00008,0.00032,0.00066
644,0.00000,0.00001,0.49994,0.00008,0.00031,0.00066
645,0.00000,0.00001,0.49977,0.00008,0.00030,0.00066
646,0.00000,0.00001,0.49741,0.00008,0.00029,0.00065
647,0.00000,0.00001,0.49647,0.00009,0.00028,0.00065
648,0.00000,0.00001,0.49552,0.00009,0.00027,0.00064
649,0.00000,0.00001,0.49797,0.00009,0.00027,0.00064
650,0.00000,0.00001,0.50188,0.00009,0.00026,0.00064
651,0.00000,0.00001,0.50606,0.00012,0.00025,0.00064
652,0.00000,0.00001,0.49922,0.00006,0.00024,0.00064
653,0.00000,0.00001,0.50393,0.00009,0.00024,0.00064
654,0.00000,0.00001,0.50499,0.00011,0.00023,0.00064
655,0.00000,0.00001,0.50546,0.00012,0.00022,0.00063
656,0.00000,0.00001,0.50741,0.00013,0.00021,0.00063
657,0.00000,0.00001,0.50866,0.00016,0.00020,0.00063
658,0.00000,0.00001,0.51065,0.00019,0.00020,0.00063
659,0.00000,0.00001,0.51207,0.00017,0.00019,0.00063
660,0.00000,0.00001,0.51276,0.00018,0.00018,0.00061
661,0.00000,0.00001,0.51569,0.00019,0.00017,0.00058
662,0.00000,0.00001,0.51481,0.00019,0.00015,0.00056
663,0.00000,0.00001,0.51336,0.00018,0.00013,0.00053
664,0.00000,0.00001,0.51265,0.00018,0.00012,0.00051
665,0.00000,0.00001,0.51296,0.00019,0.00010,0.00048
666,0.00000,0.00001,0.51401,0.00019,0.00009,0.00046
667,0.00000,0.00001,0.51589,0.00025,0.00007,0.00043
668,0.00000,0.00001,0.51703,0.00030,0.00006,0.00041
